id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
44,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
45,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
46,42 Draconis b,296,3.88 Jupiters,4.8262,2008
47,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
48,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
49,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
50,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
51,51 Eridani b,97,2 Jupiters,5.21149,2015
52,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
53,55 Cancri b,41,0.8306 Jupiters,5.95084,1996
54,55 Cancri c,41,0.1714 Jupiters,5.95084,2004
55,55 Cancri d,41,3.878 Jupiters,5.95084,2002
56,55 Cancri e,41,7.99 Earths,5.95084,2004
57,55 Cancri f,41,0.141 Jupiters,5.95084,2007
58,61 Virginis b,28,5.1 Earths,4.6955,2009
59,61 Virginis c,28,18.2 Earths,4.6955,2009
60,61 Virginis d,28,22.9 Earths,4.6955,2009
61,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
62,70 Virginis b,58,7.49 Jupiters,4.96808,1996
63,75 Ceti b,271,3 Jupiters,5.3532,2012
64,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
65,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
66,81 Ceti b,330,5.3 Jupiters,5.64307,2008
67,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
68,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
69,AB Aurigae b,529,9 Jupiters,7.076,2022
70,AB Pictoris b,163,13.5 Jupiters,9.13,2005
71,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
72,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
73,AU Microscopii b,32,20.12 Earths,8.81,2020
74,AU Microscopii c,32,9.6 Earths,8.81,2021
75,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
76,51 Eridani b,97,2 Jupiters,5.21149,2015
77,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
78,55 Cancri b,41,0.8306 Jupiters,5.95084,1996
79,55 Cancri c,41,0.1714 Jupiters,5.95084,2004
80,55 Cancri d,41,3.878 Jupiters,5.95084,2002
81,55 Cancri e,41,7.99 Earths,5.95084,2004
82,55 Cancri f,41,0.141 Jupiters,5.95084,2007
83,61 Virginis b,28,5.1 Earths,4.6955,2009
84,61 Virginis c,28,18.2 Earths,4.6955,2009
85,61 Virginis d,28,22.9 Earths,4.6955,2009
86,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
87,70 Virginis b,58,7.49 Jupiters,4.96808,1996
88,75 Ceti b,271,3 Jupiters,5.3532,2012
89,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
90,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
91,81 Ceti b,330,5.3 Jupiters,5.64307,2008
92,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
93,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
94,AB Aurigae b,529,9 Jupiters,7.076,2022
95,AB Pictoris b,163,13.5 Jupiters,9.13,2005
96,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
97,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
98,AU Microscopii b,32,20.12 Earths,8.81,2020
99,AU Microscopii c,32,9.6 Earths,8.81,2021
100,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
101,51 Eridani b,97,2 Jupiters,5.21149,2015
102,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
103,55 Cancri b,41,0.8306 Jupiters,5.95084,1996
104,55 Cancri c,41,0.1714 Jupiters,5.95084,2004
105,55 Cancri d,41,3.878 Jupiters,5.95084,2002
106,55 Cancri e,41,7.99 Earths,5.95084,2004
107,55 Cancri f,41,0.141 Jupiters,5.95084,2007
108,61 Virginis b,28,5.1 Earths,4.6955,2009
109,61 Virginis c,28,18.2 Earths,4.6955,2009
110,61 Virginis d,28,22.9 Earths,4.6955,2009
111,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
112,70 Virginis b,58,7.49 Jupiters,4.96808,1996
113,75 Ceti b,271,3 Jupiters,5.3532,2012
114,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
115,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
116,81 Ceti b,330,5.3 Jupiters,5.64307,2008
117,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
118,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
119,AB Aurigae b,529,9 Jupiters,7.076,2022
120,AB Pictoris b,163,13.5 Jupiters,9.13,2005
121,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
122,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
123,AU Microscopii b,32,20.12 Earths,8.81,2020
124,AU Microscopii c,32,9.6 Earths,8.81,2021
125,b Centauri AB b,320,10.9 Jupiters,4.01,2021
126,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
127,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
128,BD-06 1339 b,66,8.5 Earths,9.7,2013
129,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
130,BD-08 2823 b,135,12.7132 Earths,9.86,2009
131,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
132,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
133,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
134,BD-11 4672 c,89,15.37 Earths,10.03,2020
135,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
136,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
137,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
138,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
139,BD-17 63 b,112,5.1 Jupiters,9.62,2008
140,BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
141,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
142,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
143,BD+20 594 b,585,22.2481 Earths,10.849,2016
144,BD+45 564 b,175,1.36 Jupiters,9.67,2021
145,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
146,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
147,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
148,BD+55 362 b,171,0.72 Jupiters,9.38,2021
149,BD+60 1417 b,147,15 Jupiters,9.374,2021
150,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
151,CoRoT-24 b,1930,5.7 Earths,15.383,2014
152,CoRoT-24 c,1930,28 Earths,15.383,2014
153,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
154,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
155,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
156,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
157,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
158,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
159,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
160,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
161,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
162,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
163,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
164,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
165,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
166,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
167,CoRoT-7 b,522,4.07661 Earths,11.728,2009
168,CoRoT-7 c,522,8.4 Earths,11.728,2009
169,CoRoT-7 d,522,17.142 Earths,11.728,2022
170,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
171,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
172,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
173,CT Chamaleontis b,622,17 Jupiters,12.335,2007
174,DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
175,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
176,CoRoT-24 b,1930,5.7 Earths,15.383,2014
177,CoRoT-24 c,1930,28 Earths,15.383,2014
178,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
179,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
180,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
181,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
182,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
183,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
184,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
185,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
186,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
187,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
188,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
189,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
190,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
191,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
192,CoRoT-7 b,522,4.07661 Earths,11.728,2009
193,CoRoT-7 c,522,8.4 Earths,11.728,2009
194,CoRoT-7 d,522,17.142 Earths,11.728,2022
195,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
196,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
197,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
198,CT Chamaleontis b,622,17 Jupiters,12.335,2007
199,DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
200,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
201,CoRoT-24 b,1930,5.7 Earths,15.383,2014
202,CoRoT-24 c,1930,28 Earths,15.383,2014
203,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
204,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
205,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
206,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
207,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
208,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
209,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
210,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
211,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
212,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
213,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
214,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
215,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
216,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
217,CoRoT-7 b,522,4.07661 Earths,11.728,2009
218,CoRoT-7 c,522,8.4 Earths,11.728,2009
219,CoRoT-7 d,522,17.142 Earths,11.728,2022
220,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
221,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
222,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
223,CT Chamaleontis b,622,17 Jupiters,12.335,2007
224,DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
225,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
226,DH Tauri b,440,11 Jupiters,13.98,2004
227,DMPP-1 b,204,24.27 Earths,7.98,2019
228,DMPP-1 c,204,9.6 Earths,7.98,2019
229,DMPP-1 d,204,3.35 Earths,7.98,2019
230,DMPP-1 e,204,4.13 Earths,7.98,2019
231,DMPP-2 b,450,0.437 Jupiters,8.57,2019
232,DMPP-3 A b,148,2.58 Earths,9.066,2019
233,DP Leonis b,997,6.28 Jupiters,18.6837,2009
234,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
235,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
236,EPIC 201238110 b,520,4.16 Earths,16.014,2019
237,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
238,EPIC 201497682 b,825,0.26 Earths,13.948,2019
239,EPIC 201595106 b,757,2.24 Earths,11.746,2021
240,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
241,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
242,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
243,EPIC 201833600 c,840,0.972 Earths,14.705,2019
244,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
245,EPIC 205950854 c,796,2.27 Earths,12.365,2019
246,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
247,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
248,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
249,EPIC 206032309 b,526,1.01 Earths,17.89,2019
